#input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,input17,input18,input19,input20,output
-345.1355867,104.8409845,6.070778329,33.71964681,-2.536948815,2.627983742,-0.737318279,6.914739828,0.998741685,0.870630581,-2.939613697,3.583460715,-9.513994956,5.440436292,-1.48788298,-4.082202308,-4.852874469,-0.068401302,-5.740617816,-0.346587368,10
-175.1171753,79.01339298,-40.20664378,30.32085777,-32.88887356,2.583981061,-3.87504948,-6.643811939,10.57430717,1.082812033,-16.23873602,4.12441696,-4.800472226,4.926872153,-2.539688616,8.352520646,1.043878285,6.602870755,0.919132184,7.082554088,10
-224.7572748,120.1057385,-14.33022178,16.69519111,-18.39064518,-9.358946566,-14.86216349,-0.098419087,-10.33506148,-8.595313499,-4.216402502,-3.450350552,-9.885622707,-4.246870549,-4.32738401,0.691945748,-8.080512748,-0.693781016,-3.139284832,1.946151589,10
-255.9780689,92.75856838,-54.39037779,10.70663985,-25.53020562,-9.910993383,1.850746022,-15.59804864,4.078213262,-3.28055663,-8.00559755,-0.235580911,-4.033593205,11.57775519,-2.372129859,9.695114514,2.978717995,12.77168537,6.439600556,7.372148189,10
-316.0544538,102.5309837,-10.35851333,13.76943838,9.42307121,-3.855820677,-7.501319702,2.776240895,-8.719083239,-3.486260756,-6.344586637,0.603862624,-9.705856724,-0.795044512,-1.166147602,-5.998920544,-2.627319073,0.429278305,-3.051175716,-2.207927683,10
-306.5112616,87.0250421,-35.40908207,-0.201663493,-20.78484996,-1.429948349,-9.826726641,-8.286557975,-11.03251894,-4.686799602,-12.00943222,-9.181349532,-6.908783292,0.270039731,-0.635316543,7.175113576,-5.374182677,1.201202843,-0.67523245,4.81124356,10
-322.7119889,90.37236167,-15.59808402,2.388332059,-8.251572767,-0.967970238,-5.439317804,-0.29995138,-6.705202842,-1.641862935,-4.835611813,3.403362609,-4.302727123,6.874681806,8.610632117,1.499015129,1.772799865,5.096723872,-3.878888984,0.544334764,10
-212.5367976,116.4521992,-27.32380224,7.464564066,-13.0490048,1.74205489,-13.33371614,9.662963571,-13.2930677,-6.89642421,10.90027698,1.654511158,-8.266554063,2.584997107,-6.718906695,1.877144333,-1.901440021,4.055293247,0.920609123,1.779064322,10
-284.7428685,142.5878709,-25.92399162,10.12830238,-10.86045974,0.491053153,-3.312890079,6.276995137,-7.346902515,-1.063274322,-5.168480839,1.667138754,-4.169914946,-0.059700102,-0.984782518,1.865062263,-4.077175692,-3.138373445,-1.07576873,-3.976077253,10
-108.79599,92.09332369,-16.31268276,25.16029787,-10.60795361,0.204888339,-8.703436073,-0.240423567,-3.334306972,3.855461329,-8.042849015,0.78143384,-5.371825396,-1.263832698,-7.439994902,-3.683636495,-17.64104713,-7.501487476,-11.11778654,-3.952352235,10
-158.6985984,107.7028046,-22.50383467,9.410918413,-16.3842331,-7.977432973,-16.88173293,-7.851925897,-23.78350541,-4.692592444,-16.92353136,-11.13951007,-9.780291924,-7.514178704,-6.283811057,-9.168523295,-11.71838355,-1.587586058,-12.01943909,-5.059758058,10
-174.1691852,109.170544,-35.72216271,29.76351784,-1.810129446,-11.14435526,-24.78441769,-8.923273209,-23.99185281,-6.212351031,-22.10783944,-8.978579492,-9.749697589,-4.299344017,-7.026079124,-8.587702666,-8.297575243,-1.758736317,-12.82066147,-5.76725493,10
-180.3529717,76.81891127,-16.50117158,8.382258654,-8.842290583,-5.925811312,-27.18744168,-2.562212022,-16.88661897,0.508560134,-18.54194186,-13.018039,-13.03843479,-6.925454612,-10.79787851,-11.29225743,-11.20935766,-8.739259081,-12.40193403,-2.658239116,10
-182.4691283,75.95568181,-0.258325343,12.06317103,-5.550301992,-19.28777642,-14.07203593,-15.34877792,-17.90030407,-6.359728967,-16.45815254,-8.523017772,-21.40614438,0.501357515,-10.87491243,-11.70108027,-6.463156061,-9.82602018,-8.158529802,-4.458922399,10
-184.4074443,99.69665168,-38.43024863,8.06209952,-12.44576959,2.359235402,-29.76436882,-13.26192555,-21.13166744,-5.493945322,-17.11352149,-3.842880453,-12.4674081,-8.819096996,-4.943098965,0.947130601,-11.99934319,-3.130280621,-4.539446108,-9.381797899,10
-130.4632323,108.9937044,-40.38853135,19.99612659,-10.11653242,-12.74846275,-10.97361266,-1.965849631,-26.81051864,-3.467225458,-5.486393654,-7.104907745,-13.60772804,1.356088158,-7.907412671,-5.376938154,-9.33869554,-4.921054929,-6.451284993,-5.775968803,10
-181.9537095,104.2180418,-46.23744059,11.00283679,-5.62395414,0.000441727,-16.84912104,-6.907535461,-12.80883726,6.668832083,-13.99677199,-14.89789874,-9.941016864,-9.024657896,-5.602103508,-6.348084811,-11.87563943,-3.623941228,-11.04874064,-9.526977004,10
-376.879018,112.4651221,-15.28635319,22.8508041,-0.389671814,-19.10694645,-10.59916136,-14.09336189,-16.48980112,-4.381142569,-13.43457253,-5.116878382,-11.44480801,-3.148664592,-7.02187376,-10.03903051,-8.207174398,-6.773326513,-9.76990109,-9.383962908,10
-337.503579,117.3960438,-14.72764141,24.85107778,1.06480133,-17.56956678,-7.038654125,2.781297777,-30.61253087,-17.45252639,-7.140713484,-12.55112989,-9.181294425,-6.098483357,-11.22690043,0.855918385,-10.79081462,-9.977984407,-2.976209735,-4.933464195,10
-383.4733802,120.5829508,-0.796612056,23.62265272,-14.50910063,-9.961773725,-9.064666224,-11.52309711,-7.710771344,-12.13416423,-8.039136514,-3.405774669,-17.03450518,-4.916070235,-6.447121089,-9.571449048,-7.534618445,-7.423305123,-9.356159983,-9.310528825,10
-303.0587055,66.40864261,-56.22471449,13.51566377,-10.50791329,-21.64592194,-9.83968736,-14.11006713,-12.76197121,5.424663108,-21.15578226,-3.466522284,-27.42338901,-0.464059641,-15.96831138,-13.93773267,4.08008484,6.391834624,8.021368811,19.14370246,10
-338.710202,88.80926288,-40.49598135,16.13208019,-2.077888043,-23.66786525,-0.066879521,-24.30472316,-12.9303864,1.384510329,-22.33627319,-2.541906845,-20.30435514,-5.029546126,-10.76956882,-13.66704856,-3.307361863,8.719181829,-2.227409487,9.424248974,10
-355.7641391,98.04297766,-24.99696973,12.12963618,-15.9833638,-9.290756435,-11.26499589,-16.39351821,-15.67066604,-8.07303271,-12.42505323,-2.599894677,-16.9034752,1.15135828,-6.064915763,-16.71712267,-5.966730426,-7.48695992,-8.138804804,-4.41053992,10
-344.7994375,74.61203318,-3.397764167,12.5147291,-10.67016744,-6.902326082,-14.0158015,-9.588389032,-22.99004775,-6.372377489,-11.57953658,-8.941941586,-12.33860116,-2.170669256,-10.64418728,-9.975279282,-7.488219365,-4.584445113,-5.268170948,-0.046325442,10
-269.365703,50.65875888,-33.13295467,3.593097926,-18.09122942,-10.64542114,-13.17231518,-6.857698491,-17.43057222,-10.16918063,-10.10755283,-11.04043248,-14.23348936,-6.930452938,-8.237665534,-9.40959429,-16.21942131,-3.259489663,-6.949954731,0.562701147,10
